日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2020-01-02,32.91193342,33.0411446,32.42277681,32.71811665,101425488,3592989149.98,2.9239,0.1695
2020-01-03,33.86255853,34.85010112,33.4103194,33.73334735,179084129,6617433903.49,5.1626,3.103
2020-01-06,33.27187885,34.30556829,33.1334383,33.8717879,113853756,4180052105.34,3.2821,0.4104
2020-01-07,33.8717879,34.0563753,33.29033759,33.7794942,82303154,3001279953.12,2.3726,-0.2725
2020-01-08,33.53030121,34.03791656,32.91193342,32.95808027,82053043,2970790425.57,2.3653,-2.4317
2020-01-09,33.52107184,34.48092632,33.52107184,34.16712774,97329703,3594667710.37,2.8057,3.6684
2020-01-10,34.37940325,35.42232206,34.16712774,34.48092632,101287510,3811908453.78,2.9198,0.9184
2020-01-13,34.77626616,35.03468852,34.31479766,35.03468852,80588354,3032049774.2,2.3231,1.606
2020-01-14,34.97008293,34.9793123,33.81641168,33.88101727,111581615,4143449032.01,3.2166,-3.2929
2020-01-15,33.6872005,34.22250396,33.32725507,34.07483404,78088259,2856797073.71,2.251,0.572
2020-01-16,34.45323821,35.45001017,34.41632073,34.52707317,103244359,3906202606.56,2.9762,1.3272
2020-01-17,34.82241301,36.31757095,34.82241301,35.84687308,132188178,5098834404.65,3.8106,3.8225
2020-01-20,35.7176619,37.0097737,35.45001017,36.97285622,107407515,4237941062.55,3.0962,3.1411
2020-01-21,36.4560115,36.97285622,35.59768009,35.63459757,94271570,3692646968.34,2.7176,-3.6196
2020-01-22,35.42232206,37.94194007,35.33925773,37.51738905,109041573,4318263069.58,3.1433,5.2836
2020-01-23,36.87133315,37.3789485,35.3484871,36.15144229,111597708,4404784397.61,3.217,-3.6408
2020-02-03,32.53352925,34.34248577,32.53352925,33.14266767,180212366,6430335667.16,5.1904,-8.3227
2020-02-04,33.70565924,35.68074442,33.70565924,35.41309269,134812484,5100691857.65,3.8828,6.8505
2020-02-05,35.7176619,36.22527725,34.75780742,35.2561934,125489548,4823844316.25,3.6143,-0.443
2020-02-06,34.9793123,36.53907583,34.66551372,36.19758914,107615505,4186464225.51,3.0995,2.6702
2020-02-07,35.88379056,36.28065347,34.98854167,35.92993741,96320182,3734321100.38,2.7742,-0.7394
2020-02-10,35.57922135,37.60045338,35.35771647,37.02823244,102856136,4098782481.14,2.9624,3.0568
2020-02-11,37.18513173,37.7481233,36.5483052,36.92670937,72843758,2918951696.75,2.098,-0.2742
2020-02-12,36.68674575,37.1943611,36.34525906,37.04669118,81383347,3247679344.92,2.344,0.3249
2020-02-13,36.64982827,37.42509535,36.07760733,36.64982827,92112139,3663446783.28,2.653,-1.0713
2020-02-14,36.50215835,37.07437929,36.04991922,36.42832339,85995275,3407317086.1,2.4768,-0.6044
